"sep=;"
URL;SEARCH_NAME;FOUND_NAME;ADDRESS;ZIP;CITY;PHONE;WEBSITE;NAME_MATCH?;ADDRESS_MATCH?;ZIP_MATCH?;CITY_MATCH?;PHONE_MATCH?;VARDCENTRAL;HITTA_OR_ENIRO;COLOR
http://www.hitta.se/s%C3%B6k?vad=Bj%C3%A4sta+v%C3%A5rdcentral%2CHarmoniv%C3%A4gen+1;Bjästa vårdcentral;Bjästa Hälsocentral;Harmonivägen 1;89330;Bjästa;0660-89950,0660-89953,0660-89954,0660-89963,0660-89962;http://www.lvn.se/bjasta;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se//blomsterm%C3%A5la+h%C3%A4lsocentral/blomsterm%C3%A5la/hM_mH7eEEa?vad=Blomsterm%C3%A5la+v%C3%A5rdcentral%2CStationsgatan+2;Blomstermåla vårdcentral;Blomstermåla hälsocentral;Stationsgatan 2;38430;Blomstermåla;0499-20930,1177;http://www.ltkalmar.se;PARTIAL;EXACT;NO;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Bodafors+V%C3%A5rdcentral%2CTorget+1;Bodafors Vårdcentral;Bodafors Vårdcentral;Torget 1;57162;Bodafors;0380-553710;http://www.lj.se/vardcentralernabraliv/Vardcentraler/Bodaforsvardcentral;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Bj%C3%B6rkn%C3%A4s+v%C3%A5rdcentral%2CIdrottsgatan+3;Björknäs vårdcentral;Björknäs Hälsocentral;Idrottsgatan 3;96164;Boden;0921-10906,0921-66100;http://nll.se/sv/Halsa-och-sjukvard/Vardcentraler1/Boden/Bjorknas-vardcentral/;PARTIAL;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
http://www.hitta.se//erikslunds+h%C3%A4lsocentral/boden/~W2XvqoKK7?vad=Erikslunds+v%C3%A5rdcentral%2CGammel%C3%A4ngsgatan;Erikslunds vårdcentral;Erikslunds Hälsocentral;Gammelängsgatan;96167;Boden;0921-13045,1177,1177;http://www.nll.se;PARTIAL;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
http://gulasidorna.eniro.se/f/m%C3%B6drav%C3%A5rdscentral-sandens-v%C3%A5rdcentral:49982837;Vårdcentralen Sanden;Mödravårdscentral Sandens Vårdcentral;Stureg 20 A;96133;Boden;0921-13003;www.nll.se;PARTIAL;PARTIAL;EXACT;EXACT;EXACT;NO;ENIRO;YELLOW
http://www.hitta.se//sensia+h%C3%A4lsocentral/boden/~Wj5vbJA7e?vad=Kungsgatan+22%2C+96131+Boden;Vårdcentralen Åkerbäret;Sensia Hälsocentral;Kungsgatan 22;96131;Boden;0921-50501;;NO;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Bohuspraktiken%2CG%C3%B6teborgsv%C3%A4gen+219;Bohuspraktiken;Bohuspraktiken;Göteborgsvägen 219;44537;Bohus;031-979540;http://www.bohuspraktiken.se;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Bolidens+v%C3%A5rdcentral%2CRingen+76;Bolidens vårdcentral;Boliden hälsocentral;Ringen 76;93631;Boliden;090-7859123,0910-580332;http://www.vll.se/default.aspx?id=22025&refid=23479;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Bollebygd%2CG%C3%A4stgivarev%C3%A4gen+8;Vårdcentralen Bollebygd;Närhälsan Bollebygd vårdcentral;Gästgivarevägen 8;51736;Bollebygd;010-4416100;http://www.narhalsan.se/bollebygdvardcentral;PARTIAL;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
